time, Quad.IMU.AX,,,,
3.219949,-0.600475,,-0.620365,0.384852733,
4.139883,-0.599589,,-0.619479,0.383754231,
3.579923,-0.598501,,-0.618391,0.382407429,
1.965036,-0.593865,,-0.613755,0.3766952,
4.16988,-0.592287,,-0.612177,0.374760679,
3.33994,-0.584214,,-0.604104,0.364941643,
2.694987,-0.578977,,-0.598867,0.358641684,
2.634991,-0.578406,,-0.598296,0.357958104,
0.469997,-0.575795,,-0.595685,0.354840619,
2.704986,-0.574992,,-0.594882,0.353884594,
1.380008,-0.572284,,-0.592174,0.350670046,
0.04,-0.569616,,-0.589506,0.347517324,
3.859903,-0.563819,,-0.583709,0.340716197,
2.24502,-0.562198,,-0.582088,0.33882644,
3.834904,-0.561385,,-0.581275,0.337880626,
2.759982,-0.559101,,-0.578991,0.335230578,
3.079959,-0.558828,,-0.578718,0.334914524,
1.650021,-0.558663,,-0.578553,0.334723574,
1.805028,-0.555897,,-0.575787,0.331530669,
0.429998,-0.554867,,-0.574757,0.330345609,
4.389864,-0.554809,,-0.574699,0.330278941,
3.464931,-0.554448,,-0.574338,0.329864138,
3.504928,-0.554381,,-0.574271,0.329787181,
1.84003,-0.554043,,-0.573933,0.329399088,
3.739911,-0.553588,,-0.573478,0.328877016,
3.169953,-0.547221,,-0.567111,0.321614886,
2.200023,-0.54491,,-0.5648,0.31899904,
2.744983,-0.544199,,-0.564089,0.3181964,
2.095031,-0.544163,,-0.564053,0.318155787,
3.839904,-0.542476,,-0.562366,0.316255518,
3.369938,-0.539946,,-0.559836,0.313416347,
4.829833,-0.53899,,-0.55888,0.312346854,
4.744839,-0.537818,,-0.557708,0.311038213,
0.245,-0.537499,,-0.557389,0.310682497,
3.47993,-0.535613,,-0.555503,0.308583583,
3.509928,-0.533025,,-0.552915,0.305714997,
3.269945,-0.532758,,-0.552648,0.305419812,
1.310005,-0.529729,,-0.549619,0.302081045,
4.31487,-0.526842,,-0.546732,0.29891588,
1.240002,-0.523855,,-0.543745,0.295658625,
0.29,-0.520411,,-0.540301,0.291925171,
0.474997,-0.517463,,-0.537353,0.288748247,
4.574851,-0.516554,,-0.536444,0.287772165,
3.879901,-0.514337,,-0.534227,0.285398488,
3.529927,-0.511948,,-0.531838,0.282851658,
2.340013,-0.507321,,-0.527211,0.277951439,
0.275,-0.50606,,-0.52595,0.276623403,
2.824978,-0.50261,,-0.5225,0.27300625,
0.21,-0.498581,,-0.518471,0.268812178,
0.559996,-0.495275,,-0.515165,0.265394977,
2.045034,-0.494049,,-0.513939,0.264133296,
3.099958,-0.488858,,-0.508748,0.258824528,
3.239948,-0.48536,,-0.50525,0.255277563,
2.874974,-0.485266,,-0.505156,0.255182584,
4.494857,-0.482404,,-0.502294,0.252299262,
0.769994,-0.478143,,-0.498033,0.248036869,
4.519855,-0.477518,,-0.497408,0.247414718,
0.869992,-0.47441,,-0.4943,0.24433249,
4.534854,-0.472893,,-0.492783,0.242835085,
4.879829,-0.468123,,-0.488013,0.238156688,
2.524999,-0.46519,,-0.48508,0.235302606,
4.554852,-0.46398,,-0.48387,0.234130177,
4.234876,-0.457874,,-0.477764,0.22825844,
1.184999,-0.457655,,-0.477545,0.228049227,
1.235002,-0.451111,,-0.471001,0.221841942,
1.485013,-0.447252,,-0.467142,0.218221648,
4.514855,-0.446121,,-0.466011,0.217166252,
2.984966,-0.445176,,-0.465066,0.216286384,
0.934992,-0.445095,,-0.464985,0.21621105,
4.344868,-0.444635,,-0.464525,0.215783476,
3.20495,-0.443539,,-0.463429,0.214766438,
1.63002,-0.443141,,-0.463031,0.214397707,
4.85983,-0.442801,,-0.462691,0.214082961,
2.849976,-0.442035,,-0.461925,0.213374706,
3.354939,-0.439836,,-0.459726,0.211347995,
4.45486,-0.438471,,-0.458361,0.210094806,
3.949896,-0.435983,,-0.455873,0.207820192,
2.005037,-0.433958,,-0.453848,0.205978007,
2.175025,-0.430535,,-0.450425,0.202882681,
3.059961,-0.4301,,-0.44999,0.202491,
1.19,-0.42701,,-0.4469,0.19971961,
3.394936,-0.426783,,-0.446673,0.199516769,
0.02,-0.426419,,-0.446309,0.199191723,
3.964895,-0.42562,,-0.44551,0.19847916,
4.86983,-0.424179,,-0.444069,0.197197277,
4.019891,-0.422314,,-0.442204,0.195544378,
2.355012,-0.419908,,-0.439798,0.193422281,
1.345007,-0.419129,,-0.439019,0.192737682,
3.034962,-0.416913,,-0.436803,0.190796861,
4.619848,-0.412574,,-0.432464,0.187025111,
4.194879,-0.410807,,-0.430697,0.185499906,
1.960036,-0.41029,,-0.43018,0.185054832,
1.975036,-0.408171,,-0.428061,0.18323622,
0.27,-0.407808,,-0.427698,0.182925579,
4.424862,-0.40449,,-0.42438,0.180098384,
4.854831,-0.401244,,-0.421134,0.177353846,
2.390009,-0.395715,,-0.415605,0.172727516,
2.030035,-0.39554,,-0.41543,0.172582085,
4.99982,-0.395383,,-0.415273,0.172451665,
2.475003,-0.39437,,-0.41426,0.171611348,
3.984894,-0.3941,,-0.41399,0.17138772,
0.884992,-0.393971,,-0.413861,0.171280927,
0.509997,-0.391408,,-0.411298,0.169166045,
2.515,-0.391091,,-0.410981,0.168905382,
0.809993,-0.390444,,-0.410334,0.168373992,
2.080032,-0.389735,,-0.409625,0.167792641,
3.384937,-0.386514,,-0.406404,0.165164211,
4.58485,-0.384484,,-0.404374,0.163518332,
4.044889,-0.38434,,-0.40423,0.163401893,
2.435006,-0.383316,,-0.403206,0.162575078,
4.489857,-0.382077,,-0.401967,0.161577469,
2.809979,-0.381975,,-0.401865,0.161495478,
4.954823,-0.378644,,-0.398534,0.158829349,
1.825029,-0.377551,,-0.397441,0.157959348,
1.83503,-0.375282,,-0.395172,0.15616091,
2.629992,-0.373788,,-0.393678,0.154982368,
3.969895,-0.371408,,-0.391298,0.153114125,
0.919992,-0.371355,,-0.391245,0.15307265,
1.755026,-0.37055,,-0.39044,0.152443394,
4.369866,-0.368654,,-0.388544,0.15096644,
3.469931,-0.367932,,-0.387822,0.150405904,
1.425011,-0.367914,,-0.387804,0.150391942,
1.164998,-0.367753,,-0.387643,0.150267095,
1.41501,-0.366133,,-0.386023,0.149013757,
3.104957,-0.365106,,-0.384996,0.14822192,
4.129883,-0.364654,,-0.384544,0.147874088,
0.859993,-0.350179,,-0.370069,0.136951065,
4.994821,-0.348395,,-0.368285,0.135633841,
1.124997,-0.346365,,-0.366255,0.134142725,
1.265003,-0.346132,,-0.366022,0.133972104,
4.184879,-0.340981,,-0.360871,0.130227879,
4.664845,-0.340195,,-0.360085,0.129661207,
3.019964,-0.339603,,-0.359493,0.129235217,
0.434998,-0.336893,,-0.356783,0.127294109,
3.189951,-0.335577,,-0.355467,0.126356788,
2.724985,-0.33444,,-0.35433,0.125549749,
1.990037,-0.331068,,-0.350958,0.123171518,
2.065033,-0.330735,,-0.350625,0.122937891,
0.914992,-0.32931,,-0.3492,0.12194064,
4.604849,-0.329005,,-0.348895,0.121727721,
4.259874,-0.32894,,-0.34883,0.121682369,
3.719913,-0.322744,,-0.342634,0.117398058,
1.144997,-0.320447,,-0.340337,0.115829274,
2.135028,-0.315409,,-0.335299,0.112425419,
4.789835,-0.314991,,-0.334881,0.112145284,
4.419862,-0.313764,,-0.333654,0.111324992,
0.305,-0.313447,,-0.333337,0.111113556,
4.944824,-0.312067,,-0.331957,0.11019545,
0.609996,-0.305806,,-0.325696,0.106077884,
4.349867,-0.304911,,-0.324801,0.10549569,
4.684843,-0.301827,,-0.321717,0.103501828,
0.235,-0.301403,,-0.321293,0.103229192,
2.554997,-0.300817,,-0.320707,0.10285298,
2.579995,-0.300817,,-0.320707,0.10285298,
3.19995,-0.296894,,-0.316784,0.100352103,
3.75991,-0.296882,,-0.316772,0.1003445,
0.03,-0.296237,,-0.316127,0.09993628,
2.165025,-0.295735,,-0.315625,0.099619141,
3.544925,-0.293428,,-0.313318,0.098168169,
1.069994,-0.292665,,-0.312555,0.097690628,
2.944969,-0.29191,,-0.3118,0.09721924,
3.299943,-0.288332,,-0.308222,0.095000801,
1.370008,-0.288196,,-0.308086,0.094916983,
2.220021,-0.287529,,-0.307419,0.094506442,
2.410008,-0.287315,,-0.307205,0.094374912,
3.669916,-0.286159,,-0.306049,0.09366599,
3.489929,-0.285344,,-0.305234,0.093167795,
0.295,-0.285134,,-0.305024,0.093039641,
0.499997,-0.28403,,-0.30392,0.092367366,
2.889973,-0.282678,,-0.302568,0.091547395,
4.779836,-0.281609,,-0.301499,0.090901647,
3.014964,-0.278035,,-0.297925,0.088759306,
4.929825,-0.276808,,-0.296698,0.088029703,
3.164953,-0.273505,,-0.293395,0.086080626,
1.865031,-0.271721,,-0.291611,0.085036975,
2.120029,-0.271702,,-0.291592,0.085025894,
0.339999,-0.269197,,-0.289087,0.083571294,
0.265,-0.268083,,-0.287973,0.082928449,
4.199878,-0.267222,,-0.287112,0.082433301,
0.624996,-0.266167,,-0.286057,0.081828607,
2.549998,-0.264324,,-0.284214,0.080777598,
3.829905,-0.261561,,-0.281451,0.079214665,
2.075032,-0.260226,,-0.280116,0.078464973,
1.114996,-0.259024,,-0.278914,0.077793019,
0.924992,-0.259014,,-0.278904,0.077787441,
3.054961,-0.258668,,-0.278558,0.077594559,
2.979966,-0.25749,,-0.27738,0.076939664,
4.749838,-0.254456,,-0.274346,0.075265728,
1.335006,-0.253775,,-0.273665,0.074892532,
0.24,-0.252709,,-0.272599,0.074310215,
4.459859,-0.252349,,-0.272239,0.074114073,
0.714994,-0.25223,,-0.27212,0.074049294,
3.884901,-0.249689,,-0.269579,0.072672837,
2.285017,-0.247746,,-0.267636,0.071629028,
3.294944,-0.24751,,-0.2674,0.07150276,
4.03489,-0.24607,,-0.26596,0.070734722,
3.284944,-0.243733,,-0.263623,0.069497086,
1.645021,-0.240587,,-0.260477,0.067848268,
0.944991,-0.237306,,-0.257196,0.066149782,
3.304943,-0.234531,,-0.254421,0.064730045,
4.094886,-0.234034,,-0.253924,0.064477398,
3.534926,-0.233766,,-0.253656,0.064341366,
0.814993,-0.233496,,-0.253386,0.064204465,
0.414998,-0.233153,,-0.253043,0.06403076,
1.245002,-0.230857,,-0.250747,0.062874058,
1.360008,-0.230309,,-0.250199,0.06259954,
0.439998,-0.228205,,-0.248095,0.061551129,
1.980036,-0.227869,,-0.247759,0.061384522,
4.814834,-0.226185,,-0.246075,0.060552906,
4.029891,-0.224913,,-0.244803,0.059928509,
0.704994,-0.224687,,-0.244577,0.059817909,
4.109885,-0.222607,,-0.242497,0.058804795,
2.150027,-0.221241,,-0.241131,0.058144159,
3.029963,-0.219569,,-0.239459,0.057340613,
3.569924,-0.217904,,-0.237794,0.056545986,
1.885032,-0.216612,,-0.236502,0.055933196,
3.854903,-0.213336,,-0.233226,0.054394367,
1.460012,-0.213117,,-0.233007,0.054292262,
2.93497,-0.213068,,-0.232958,0.05426943,
2.060033,-0.212528,,-0.232418,0.054018127,
0.754994,-0.212214,,-0.232104,0.053872267,
3.679916,-0.204998,,-0.224888,0.050574613,
2.78998,-0.204359,,-0.224249,0.050287614,
1.795028,-0.203846,,-0.223736,0.050057798,
3.944896,-0.202461,,-0.222351,0.049439967,
2.65499,-0.201444,,-0.221334,0.04898874,
0.354999,-0.199803,,-0.219693,0.048265014,
2.265018,-0.199588,,-0.219478,0.048170592,
3.454932,-0.198514,,-0.218404,0.047700307,
3.334941,-0.198298,,-0.218188,0.047606003,
1.655021,-0.197102,,-0.216992,0.047085528,
2.495002,-0.197013,,-0.216903,0.047046911,
4.289872,-0.196355,,-0.216245,0.0467619,
3.34994,-0.194529,,-0.214419,0.045975508,
1.855031,-0.190401,,-0.210291,0.044222305,
1.545016,-0.189761,,-0.209651,0.043953542,
1.580018,-0.189684,,-0.209574,0.043921261,
2.804979,-0.188694,,-0.208584,0.043507285,
